"positive", "Les représentants des partis politiques et les observateurs sont libres de faire correctement leur travail"
"negative", "Des irrégularités ou des désordres ont été observés"
"positive", "Des irrégularités ou des désordres n'ont pas été observés"
"positive", "Aucunes irrégularités ou désordres observés"
"negative", "Des irrégularités ou désordres observés"
"positive", "Des électeurs dont le nom figurent sur la liste ne sont pas été empêchés de voter."
"negative", "Des électeurs dont le nom figure sur la liste ont été empêchés de voter."
"positive", "Les représentants des partis politiques et les observateurs sont libres de faire correctement leur travail"
"negative", "Les représentants des partis politiques et les observateurs ne sont pas libres de faire correctement leur travail"
"positive", "Le président de la commission locale de vote a ouvert l’urne en présence des membres de la commission, des observateurs accrédités et des électeurs..."
"positive", "Ouverte conforme de l'urne"
"positive", "Ouverture conforme du bureau de vote"
"positive", "L'ouverture du bureau de vote a eu lieu à 8h"
"positive", "ouverture tardive du bureau de vote"
"negative", "ouverture non conforme des Bureaux"
"negative", "L'ouverture du bureau de vote n'a pas eu lieu à 8h"
"negative", "depuis 08h30 les électeurs n'ont pas encore voté a Bafoussam. Une centaine de votants attendent devant les bureaux ouverts."
"negative", "le Rdpc cache les bulletins du Sdf pendant 1 heure."
"negative", "COUPURE ELECTRIQUE DANS TOUT LE LYCEE DEPUIS 18H30 LORS DU DEPOUILLEMENT."
"negative", "L'encre n'était pas indélébile"
"negative", "Des promesses d'argent ont été faites aux électeurs. d’où leur engouement à aller voter." 
"negative", "l’électeur numéro 185 un homme, ne retrouve pas son nom sur la liste car ce numéro a été attribué a une femme."
"negative", "confusion des noms des électeurs dans un bureau de vote a Pitoa. Un électeur a voté au nom d'un autre"
"negative", " there is no good light during the counting..that result at the pole will not be proper taken to elecam office"
"negative", "l'encre n'est pas tout a fait indélébile"
"negative", "forces de l'ordre ont intervenu à l'école maternelle de Ndogbele afin d'éviter l'afluence des populations auprès des bureaux de vote"
"negative", "les représentants du SDF et MRC ont été empêchés de voter."
"negative", "Il y'a eu 8 bureaux de vote au lieu de 6. Les modifications ont été faites au niveau des listes des électeurs inscrits."
"negative", "un électeur n'a pas pu signer parce qu'on avait deja signé à la place qui lui était reservée dans la liste d'émargement."
"negative", "Les bulletins de vote ,pour les législatives,au bureau de Vote No A, école Protestante à Ngaoundéré, sont ceux de la circonscription"
"negative", "les bulletins de vote de l'UNDP sont inexistants."
"negative", "les bulletins de vote de l'UNDP sont absents."
"negative", "des individus ont des cartes d'électeur mais leurs noms ne figurent pas sur la liste du bureau de vote. "
"negative", " le Président a fait voter les militaires sur une feuille vierge avant l’arrivée du matériel électoral"
"negative", "Fouille Les isoloirs (les sacs à rebus pour vérifier les bulletins non choisis) Pour Intimider Les électeurs."
"negative", "Un haut cadre partage les aubergines aux électeurs"
"negative", "Les membres de la commission n'ont pas permis aux représentants des partis politiques de vérifier que l'urne était effectivement vide avant d'être scéllé."
"negative", "Non respect des normes électorales"
"negative", "on indique le bulletin aux électeurs et on accompagne les personnes âgées et illettrées aux isoloirs."
"negative", "un candidat à détruit les urnes car le vote n'a pas été suspendu après qu'il ait signalé une irrégularité: L'absence de son bulletin de vote."
"negative", "les membres d'Elecam empêchent aux électeurs d'exprimer librement leur choix."
"negative", "Nous ne sommes pas autorisés à accéder dans les bureaux de vote de ndelele à la boumba et ngoko. Alors que nous avons nos accréditations."
"negative", "Je n'ai toujours pas mon kit d'observation à savoir ma fiche. Merci de résoudre ce problème."
"negative", " ACCES REFUSE AUX OBSERVATEURS "
"negative", "Fraude d'un électeur au bureau de vote"
"negative", "un electeur a voté dans l'urne. Et le même électeur a également émargé devant le nom d'un autre électeur."
"negative", "Plus précisément, il influence le vote des électeurs en faveur d'un parti."
"negative", "Un membre d'un parti politique a demandé a une maman qui allait voter de choisir son bulletin."
"positive", "Evènements positifs au quartier"
"positive", "Confusion des urnes par 1electeur et extraction du bulletin de l'urne par la comission avec l' accord des partis politiques présents. - Absence du nom d'un electeur sur toutes les listes d'emargement et implication du responsable ELECAM du bureau de vote."
"negative", "Il y a du grand désordre dans le bureau de vote"
"negative", "Ecole Publique de new deido des electeurs votent au nom des autres et ceux qui votent avec 2 identités dans le Bureau"
"positive", "Les opérations jusque-là vont très bien."
"positive", "Evènement positif à"
"negative", "L'achat du vote des électeurs avec de l'argent par le "
"negative", "achète les votes des électeurs en contrepartie d'une somme d'argent. Cet argent leur sera versé par le 1er adjoint au maire une fois que ceux-ci auront remis les bulletins de vote des autres partis."
"negatif", "Entretiens intempestifs entre les membres "
"negatifs", "Les personnes qui ne sont pas dans le proccesus en l'occurence les representants du ... entrent pemanemment dans les bureaux de vote pour causer avec les membres "
"negative", "Un électeur vote dans un autre bureau de vote autre que le sien."
"negative", "Composition incomplète du Bureau de vote. On ne retouve que le pdt du bureau de vote et un representant de l'administration."
"negative", "Les numéros qui apparaissent sur les listes ne sont pas les mêmes que celles apparaissent sur les cartes des électeurs"
"negative", "Intimidation des électeurs par le président du bureau de vote "
"negative", "il y a une urne scellée avec du carton,le couvercle donné n' est pas adapté.Et ladite urne a dormi au domicile de la présidente du bureau de vote. Non seulement qu'elle est arrivée tardivement"
"negative", "Irrégularité flagrante. fraude de la présidente"
"negative", "se fait accompagné des chefs de quartier et de certains membres pour régler un incident dans un bureau de vote"
"negative", "pour régler un incident dans un bureau de vote"
"negative", "différence de numéro entre la carte d'électeur et la liste des électeurs "
"negative", "Nous notons plusieurs irrégularités au bureau de vote de Domayo: - Doublure de l'isoloire - Forte présence des autorités traditionnelles dans certains bureaux de vote - Quasi-absence des lampes des lampes dans les bureaux de vote etc..."
"negative", "LA COUPURE ELECTRIQUE PENDANT LE DEPOUILLEMENT"
